name,gender,age,ethnicity,emotion
1804.png,0,4,3,3
1810.png,1,4,0,3
374.png,0,4,0,3
360.png,0,4,1,3
406.png,1,4,0,3
1192.png,1,2,2,3
1179.png,0,4,1,3
2316.png,0,4,3,4
3008.png,1,3,0,3
1145.png,0,4,0,3
1623.png,0,5,1,3
3034.png,0,4,3,3
3020.png,1,5,1,3
1151.png,0,4,0,3
2869.png,0,3,1,3
638.png,1,3,0,3
610.png,1,4,0,3
1390.png,1,0,1,3
604.png,0,3,1,3
189.png,0,4,0,2
2114.png,1,3,0,3
2672.png,0,5,0,3
837.png,1,4,1,3
823.png,1,4,3,3
63.png,0,4,2,3
2100.png,1,4,0,3
1409.png,0,4,3,3
3236.png,0,4,0,3
1347.png,1,3,3,3
1353.png,1,3,0,3
1435.png,1,3,0,3
3222.png,0,4,0,3
980.png,0,5,0,3
994.png,0,5,1,5
764.png,0,4,0,3
770.png,1,3,0,3
1582.png,1,5,0,3
1569.png,0,4,3,3
2060.png,1,4,0,3
2706.png,0,3,3,4
943.png,1,4,0,3
957.png,1,0,1,2
2074.png,1,3,0,3
1555.png,0,4,3,3
1233.png,1,4,3,3
2048.png,1,3,0,3
1964.png,1,4,3,3
566.png,0,1,0,3
3183.png,0,3,0,3
1794.png,1,4,3,3
200.png,0,4,3,3
1958.png,1,2,1,3
2289.png,1,2,0,3
3197.png,0,4,1,2
599.png,1,4,3,3
2504.png,0,1,0,3
2262.png,0,4,3,3
3168.png,0,4,0,3
1019.png,0,4,3,3
2538.png,1,4,0,3
1031.png,1,4,3,3
1757.png,0,4,0,3
3140.png,0,4,1,3
3154.png,0,4,1,3
1025.png,0,4,3,3
3155.png,0,4,0,5
2539.png,0,4,0,4
3141.png,0,4,0,3
1756.png,0,4,0,3
3169.png,1,4,3,3
1018.png,0,4,3,3
2511.png,0,4,3,3
2263.png,1,4,0,3
3196.png,0,3,0,3
2288.png,0,2,0,5
1781.png,1,4,3,3
215.png,1,4,0,4
1959.png,0,4,0,3
1795.png,0,4,1,3
3182.png,0,4,1,0
229.png,1,4,0,3
1965.png,0,4,3,3
1971.png,1,4,0,3
1226.png,1,3,1,3
2049.png,1,4,0,3
1540.png,0,2,0,3
1554.png,0,7,1,2
1232.png,1,4,1,3
2075.png,0,4,0,3
2061.png,1,3,0,3
1568.png,1,2,0,3
942.png,1,4,0,3
2707.png,0,4,2,3
771.png,1,1,0,2
1583.png,1,3,0,3
1597.png,1,4,0,3
765.png,0,3,0,3
2908.png,1,5,1,2
759.png,1,4,0,3
1352.png,0,4,3,3
2883.png,0,4,0,3
3223.png,0,4,0,3
1434.png,1,1,1,3
2129.png,0,4,3,3
3237.png,0,3,1,4
2897.png,0,3,1,3
822.png,0,4,1,3
1408.png,0,4,0,3
2101.png,1,2,3,3
2115.png,1,3,0,3
188.png,0,4,0,3
836.png,1,5,1,5
605.png,0,4,3,3
177.png,1,2,1,3
1385.png,0,6,0,3
611.png,1,4,3,3
89.png,0,4,0,3
2854.png,0,4,3,3
639.png,0,4,1,3
1636.png,1,4,0,3
3021.png,0,4,0,4
2459.png,1,4,3,3
1150.png,1,4,0,3
3035.png,0,4,0,3
1622.png,0,4,0,3
2465.png,0,3,1,3
2471.png,1,2,0,4
1178.png,1,1,1,4
3009.png,0,4,3,3
2317.png,0,4,0,3
361.png,0,4,0,3
407.png,0,4,3,3
413.png,1,4,3,3
1187.png,1,3,0,3
375.png,0,3,1,3
1811.png,0,3,0,3
439.png,0,4,3,3
1813.png,0,4,0,3
2498.png,1,1,0,3
405.png,0,4,0,3
377.png,0,4,0,3
411.png,1,3,0,3
2467.png,1,4,2,4
1608.png,0,4,3,3
2301.png,1,2,0,3
2315.png,0,4,3,3
388.png,1,4,2,3
2473.png,0,2,3,3
1152.png,1,3,0,3
3023.png,0,4,1,3
1634.png,0,4,0,3
1620.png,0,4,0,4
2329.png,0,2,3,4
3037.png,1,7,0,2
1146.png,0,4,0,2
149.png,0,4,3,3
161.png,1,3,0,3
1393.png,0,3,3,3
613.png,1,4,0,3
1387.png,1,3,0,3
175.png,0,5,0,3
820.png,1,4,1,3
2665.png,0,4,3,3
74.png,0,4,0,3
3209.png,0,4,3,3
2117.png,1,4,1,3
3221.png,0,5,3,2
1350.png,1,4,3,3
3235.png,0,1,3,3
1422.png,0,4,3,3
997.png,1,4,0,3
983.png,0,4,3,3
2088.png,0,5,0,3
1581.png,1,3,0,3
773.png,1,2,3,3
767.png,0,4,3,3
2077.png,0,4,3,3
1218.png,0,3,0,3
954.png,0,4,3,3
2711.png,0,4,0,3
798.png,0,4,2,3
940.png,0,3,0,3
1224.png,1,4,0,3
968.png,1,4,2,3
1230.png,1,5,1,0
1556.png,1,1,3,3
1967.png,1,4,0,3
1973.png,0,4,0,3
559.png,0,4,0,3
571.png,0,1,0,3
3194.png,0,5,1,3
3180.png,0,4,3,3
1797.png,0,4,0,3
203.png,1,4,1,5
565.png,1,3,0,3
1768.png,0,5,3,3
2507.png,0,4,3,3
1026.png,1,4,0,3
3157.png,0,2,1,3
2249.png,0,2,0,3
1740.png,1,2,3,3
1998.png,0,3,0,3
1754.png,1,4,3,3
3143.png,0,4,0,4
1032.png,0,2,0,3
3142.png,0,4,3,3
1755.png,1,4,0,3
1027.png,1,3,0,4
1999.png,0,4,3,4
1741.png,1,4,3,3
3156.png,0,3,1,2
2260.png,0,4,3,0
2506.png,1,2,0,2
2512.png,1,3,0,3
2274.png,0,4,3,3
3181.png,0,4,3,4
564.png,1,4,3,3
3195.png,0,4,3,3
1782.png,0,2,0,3
1972.png,1,4,0,5
558.png,0,3,0,3
2738.png,0,5,0,3
1231.png,1,4,2,3
1557.png,1,4,0,3
1543.png,0,5,3,3
969.png,0,4,1,0
799.png,0,4,0,3
2062.png,1,4,0,3
2076.png,0,4,0,3
955.png,0,4,3,3
1219.png,1,4,0,3
766.png,1,1,1,3
1594.png,1,1,3,3
2937.png,0,5,3,3
772.png,1,4,1,3
982.png,0,5,1,4
996.png,0,4,1,3
1345.png,0,4,2,3
49.png,0,4,1,3
3234.png,0,4,0,3
3220.png,0,4,3,3
1437.png,0,3,0,3
1351.png,1,3,0,3
2880.png,0,4,0,3
1379.png,1,3,0,3
75.png,0,4,3,3
835.png,1,3,3,5
2670.png,0,3,2,3
2116.png,0,3,1,3
3208.png,0,4,2,3
821.png,0,4,3,4
612.png,1,5,3,3
174.png,1,3,0,3
160.png,1,4,0,3
606.png,1,4,0,3
3036.png,0,4,1,3
2328.png,1,4,0,3
1621.png,0,4,3,3
1153.png,0,1,0,3
1635.png,1,2,0,3
3022.png,1,1,1,2
389.png,0,4,0,3
2314.png,0,2,3,3
2472.png,1,4,0,3
2466.png,0,4,0,3
376.png,0,4,3,3
410.png,0,7,0,5
1184.png,0,4,3,3
1190.png,0,2,0,3
2499.png,1,4,0,3
362.png,1,4,0,2
438.png,0,4,0,3
1812.png,0,4,1,3
366.png,0,1,0,3
400.png,1,4,1,2
414.png,0,4,0,3
2489.png,0,3,3,3
1816.png,1,4,0,3
428.png,0,4,0,3
1802.png,0,4,0,3
2338.png,1,6,2,3
3026.png,0,3,3,3
1631.png,0,4,0,3
1157.png,1,4,0,3
1625.png,1,4,3,3
